MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,MolWt,FpDensityMorgan1,BalabanJ,SMR_VSA10,SMR_VSA3,SMR_VSA5,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA8,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState8,VSA_EState9,NHOHCount,fr_aniline,fr_bicyclic,fr_ether,tg
8.580292186,-3.810308012,0.720431784,176.259,1.846153846,4.055503995,0,0,39.61550124,0,0,0,0,0,0,6.080018027,11.2958482,0,6.875840478,0,9.23,0,0,0,4.736862954,0,0,-1.778255858,0,-13.06372311,0,0,0,0,1,88
8.605494733,-3.999891345,0.765099246,190.286,1.857142857,3.941844592,0,0,39.4294409,6.558985243,0,0,0,0,0,6.558985243,11.2958482,0,6.875840478,0,9.23,0,0,0,4.736862954,0,0,-1.874779896,0,-13.50846375,0,0,0,0,1,67
8.636486468,-4.207956782,0.818802949,204.313,1.733333333,3.955982265,0,0,45.8023658,6.558985243,0,0,0,0,0,6.558985243,11.2958482,0,6.875840478,0,9.23,0,0,0,4.736862954,0,0,-1.99334664,0,-13.91249623,0,0,0,0,1,47
8.642994733,-4.278790116,0.829962286,204.313,1.733333333,4.044578136,0,0,39.90840812,6.558985243,0,0,0,0,0,6.558985243,11.2958482,5.893957685,6.875840478,0,9.23,0,0,0,4.736862954,0,0,-2.019362324,-4.189683629,-18.1687347,0,0,0,0,1,78
8.691707422,-3.412704672,0.647813786,224.303,1.235294118,2.889124182,0,0,26.39068423,0,0,0,0,0,0,0,17.85483344,0,6.875840478,0,9.23,0,0,0,0,0,0,-2.617172238,0,-8.908099795,0,0,0,0,1,72
8.707761933,-3.809292328,0.72900901,238.33,1.277777778,2.871219203,0,0,26.20462388,6.558985243,0,0,0,0,0,6.558985243,17.6687731,0,6.875840478,0,9.23,0,0,0,0,0,0,-2.949376165,0,-9.560526586,0,0,0,0,1,63
12.49529148,-3.163895975,0.374746788,161.204,2.25,3.938900615,5.907179729,5.309813353,13.27271374,6.9758269,0,5.309813353,0,0,0,12.88300663,0,0,8.287682556,0,29.1,4.794537184,5.309813353,0,0,12.49529148,-0.374746788,-1.323101852,-1.497291667,-5.142969931,0,1,0,0,0,189
12.96966648,-3.450354308,0.437246788,175.231,2,4.074719252,5.907179729,4.899909731,13.27271374,13.9516538,0,0,0,0,0,24.75874326,0,0,6.875840478,0,20.31,4.794537184,0,0,0,12.53241969,0,-1.61650463,-1.705625,-8.979033211,0,0,0,0,0,190
13.28505008,-2.037856001,0.048172714,223.275,1.470588235,2.924679503,11.594566,0,13.27271374,5.309813353,0,5.309813353,5.687386275,0,0,5.907179729,0,0,8.287682556,0,29.1,4.794537184,5.309813353,0,0,13.28505008,-0.048172714,-2.162664452,-1.438467026,-2.037856001,0,1,1,0,0,191
11.72924981,-1.844959373,0.355787037,148.161,2.181818182,3.925272464,5.969305288,0,13.27271374,0,0,0,0,0,0,11.07811348,0,0,6.875840478,1.431199657,37.3,4.794537184,5.563451492,0,5.108808191,11.72924981,3.821035525,-0.948449074,-1.293587963,-1.844959373,0,1,0,0,0,177
