,MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,MolWt,FpDensityMorgan1,BalabanJ,Ipc,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,VSA_EState5,VSA_EState8,VSA_EState9,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,fr_Ar_N,fr_NH0,fr_allylic_oxid,fr_aniline,fr_bicyclic,fr_ester,fr_ether,fr_ketone,fr_methoxy,fr_para_hydroxylation,tg
56,12.96966648,-3.450354308,0.437246788,175.231,2,4.074719252,243566.7162,0,0,0,0,0,0,0,0,0,0,0,-1.705625,-8.979033211,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,190
57,13.28505008,-2.037856001,0.048172714,223.275,1.470588235,2.924679503,3391141.584,0,0,0,0,0,0,0,0,0,0,0,-1.438467026,-2.037856001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,191
58,11.72924981,-1.844959373,0.355787037,148.161,2.181818182,3.925272464,18746.93647,0,0,0,0,0,0,0,0,0,0,0,-1.293587963,-1.844959373,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
59,12.20362481,-3.122229308,0.483564815,162.188,2.166666667,3.848424119,51280.01283,0,0,0,0,0,0,0,0,0,0,0,-1.501921296,-1.94421001,-3.122229308,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,130
60,12.52029148,-3.434729308,0.583479781,176.215,2.076923077,3.810377316,178943.3706,0,0,0,0,0,0,0,0,0,0,0,-1.667546296,-8.808649573,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,118
61,12.74690712,-3.721187642,0.663199169,190.242,2,3.801217818,608320.0141,0,0,0,0,0,0,0,0,0,0,0,-1.795324074,-9.344635679,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,108
62,12.83695814,-3.747229308,0.683394747,190.242,1.928571429,3.918882936,597001.8805,0,0,0,0,0,0,0,0,0,0,0,-1.833171296,-9.376547186,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,146
63,12.91718774,-3.948373449,0.728062209,204.269,1.933333333,3.811137819,2063824.597,0,0,0,0,0,0,0,0,0,0,0,-1.89523904,-9.749685402,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,66
64,12.97352277,-4.007645975,0.742918556,204.269,1.866666667,3.911747195,1954787.936,0,0,0,0,0,0,0,0,0,0,0,-5.897516967,-13.80295357,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,127
65,13.04985556,-4.163998449,0.781765912,218.296,1.8125,3.832599396,6980455.141,0,0,0,0,0,0,0,0,0,0,0,-1.974958428,-10.05976711,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,92
66,13.08746835,-4.234831782,0.792925249,218.296,1.8125,3.920073832,6635133.821,0,0,0,0,0,0,0,0,0,0,0,-6.15289319,-14.26039098,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,68
67,13.15615186,-4.347322518,0.82691054,232.323,1.705882353,3.86041288,23553885.57,0,0,0,0,0,0,0,0,0,0,0,-2.039821468,-10.30370316,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,45
68,12.99338341,-2.002992056,0.503827056,224.259,1.411764706,2.829664215,2218389.381,0,0,0,0,0,0,0,0,0,0,0,-2.267662037,-2.002992056,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,124
69,13.02581869,-4.005665116,0.756148038,219.284,1.875,3.837573239,4162323.795,0,0,0,0,0,0,0,0,0,0,0,-1.932561413,-17.62844035,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,69
70,12.70462376,-3.986623114,0.543176673,219.284,1.8125,3.67345919,4064170.707,0,0,0,0,0,0,0,0,0,0,0,-1.945771447,-17.40056771,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,91
71,8.230462963,-1.643984316,0.046141975,138.597,2.111111111,3.722974656,4368.855355,0,0,0,0,0,0,0,0,0,0,0,0,-1.643984316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
72,13.99956019,-1.799539872,0.478240741,122.142,2.111111111,3.722974656,4368.855355,0,0,0,0,0,0,0,0,0,0,0,-1.171365741,-1.799539872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.5
73,8.299074074,-2.796107332,0.310532407,118.179,2.333333333,3.905987921,12865.45175,0,0,0,0,0,0,0,0,0,0,0,0,-4.601072373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
74,8.219598765,-1.654848513,0.089351852,138.597,2.222222222,3.722974656,4368.855355,0,0,0,0,0,0,0,0,0,0,0,0,-1.654848513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
75,13.61465797,-1.762873205,0.332407407,122.142,2.222222222,3.722974656,4368.855355,0,0,0,0,0,0,0,0,0,0,0,-1.229699074,-1.762873205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
76,8.27143802,-2.781469081,0.272685185,118.179,2.111111111,3.840722054,12974.57514,0,0,0,0,0,0,0,0,0,0,0,0,-4.56025959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
77,8.33003177,-3.191647377,0.372600151,132.206,2,3.909191847,45345.47115,0,0,0,0,0,0,0,0,0,0,0,0,-5.050733025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4
78,8.38862552,-3.47810571,0.472515117,146.233,1.727272727,4.105686731,150336.91,0,0,0,0,0,0,0,0,0,0,0,-3.406469081,-8.895592207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.4
79,8.413828066,-3.79060571,0.517182579,160.26,1.833333333,3.985756144,529679.6257,0,0,0,0,0,0,0,0,0,0,0,0,-5.573846006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
80,8.44721927,-3.764564043,0.572430083,160.26,1.75,4.371796862,457325.4143,0,0,0,0,0,0,0,0,0,0,0,0,-13.31336806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
81,8.470861468,-4.247297651,0.616030911,188.314,1.571428571,4.037217091,6090542.199,0,0,0,0,0,0,0,0,0,0,0,0,-5.865178618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27
82,8.51218347,-4.570164781,0.687613551,216.368,1.375,4.081612502,69303470.6,0,0,0,0,0,0,0,0,6.851892117,0,6.853792781,0,-6.057662251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45
83,8.528850137,-4.695589951,0.71644461,230.395,1.294117647,4.102265313,233116637.8,0,0,0,0,0,0,0,0,13.22481702,0,9.595309893,0,-6.132180929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53
84,8.543498574,-4.811223848,0.741756401,244.422,1.222222222,4.122004198,782957586.4,0,0,0,0,0,0,0,0,19.59774192,0,12.33682701,0,-6.196488924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65
85,8.568048427,-4.998513556,0.784105873,272.476,1.1,4.158827349,8799576035,0,0,0,0,0,0,0,0,32.34359172,0,17.81986123,0,-6.302161267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52
86,8.587811239,-5.148478339,0.818121049,300.53,1,4.192241267,98509151209,0,0,0,0,0,0,0,0,45.08944153,0,23.30289545,0,-6.385634217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36
87,8.604062574,-5.271420074,0.846033974,328.584,0.916666667,4.22247114,1.1E+12,0,0,0,0,0,0,0,0,57.83529133,0,28.78592968,0,-6.453401438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
88,8.619540539,-5.374135313,0.869347388,356.638,0.846153846,4.249801158,1.22E+13,0,0,0,0,0,0,0,0,70.58114113,0,34.2689639,0,-6.509598345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
89,8.482739145,-1.837572555,0.292947426,180.25,1.214285714,3.016084665,554878.64,0,0,0,0,0,0,0,0,0,0,0,0,-1.837572555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.5
90,8.439299526,-3.920214317,0.542040309,206.285,1.6,3.640499116,3851863.284,0,0,0,0,0,0,0,0,0,0,4.112275669,0,-20.72226608,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
91,8.852068019,-1.702738213,0.165277778,129.162,2,3.796902894,7341.555159,0,0,0,0,0,0,0,0,0,0,0,0,-1.702738213,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,180
92,8.213047997,-1.661399282,0.109351852,138.597,2,3.722974656,4368.855355,0,0,0,0,0,0,0,0,0,0,0,0,-1.661399282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
93,8.240825775,-1.633621504,0.054907407,183.048,2,3.722974656,4368.855355,0,0,0,0,0,0,0,0,0,0,0,0,-1.633621504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
94,14.70469616,-8.590998114,1.283510117,472.191,0.733333333,4.059986166,20566771.22,0,0,0,0,0,0,13.17124514,0,0,0,0,-49.02680439,-2.504131657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
95,8.371296887,-2.947550154,0.330616969,161.204,2.166666667,3.919681352,91350.6437,0,0,0,0,0,0,0,0,0,0,0,0,-4.790573232,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,134
96,8.41206302,-3.545814043,0.498875661,162.232,2,4.18385824,255438.7853,0,0,0,0,0,0,0,0,0,0,0,0,-9.05386767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
97,8.458359316,-3.858314043,0.578595049,176.259,2,4.318588322,875663.811,0,0,0,0,0,0,0,0,0,0,0,0,-9.494471647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
98,8.495859316,-4.144772377,0.643458089,190.286,1.928571429,4.396397334,2968153.223,0,0,0,0,0,0,0,0,0,0,0,0,-9.807605651,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
99,8.526851051,-4.360397377,0.697161793,204.313,1.866666667,4.439176704,10037776.68,0,0,0,0,0,0,0,0,0,0,0,0,-10.04942043,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
100,8.552892718,-4.522897377,0.742306421,218.34,1.75,4.460984012,33864304.81,0,0,0,0,0,0,0,0,0,0,0,0,-10.24417955,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
101,8.491749037,-4.145214317,0.621517017,205.301,1.733333333,4.14560006,6468627.059,0,0,0,0,0,0,0,0,0,0,0,0,-13.82135438,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43
102,8.688500016,-4.484797651,0.699562625,245.366,1.5,3.04676994,165001820.1,0,0,0,0,0,0,0,0,0,0,2.741517112,0,-15.09629375,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,54
103,8.653343766,-4.366464317,0.67186137,247.338,1.611111111,3.003296652,72372067.19,0,0,0,0,0,0,0,0,0,0,0,0,-22.18164722,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,50
104,8.341171816,-3.161880984,0.378765117,148.205,2,3.773579556,64406.96472,0,0,0,0,0,0,0,0,0,0,0,0,-4.97744709,-3.161880984,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,77
105,8.39106851,-3.542089317,0.458442972,178.231,1.846153846,3.730106697,414518.2023,0,0,0,0,0,0,0,0,0,0,0,0,-12.26444637,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46
106,8.409663551,-3.760839317,0.497331861,176.259,1.846153846,3.748487837,770591.9607,0,0,0,0,0,0,0,0,0,0,0,0,-12.76836022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22
107,8.435705218,-3.976464317,0.542476489,190.286,1.785714286,3.764989735,2619005.314,0,0,0,0,0,0,0,0,0,0,0,0,-13.27901751,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
