Porosity,Young Modulus,Ultimate Strength,Fracture Strain,YM
48.7013,2800,65,6.2,275.431
49.4081,2800,65,6.2,278.9723
52.6603,2800,65,6.2,250.0589
55.223,2800,65,6.2,256.6665
60.396,2800,65,6.2,208.4413
60.6736,2800,65,6.2,206.8943
60.8904,2800,65,6.2,207.7538
61.3197,2800,65,6.2,173.9762
61.7056,2800,65,6.2,174.5249
62.6899,2800,65,6.2,182.4955
67.7155,2800,65,6.2,136.343
68.7519,2800,65,6.2,136.2883
73.4307,2800,65,6.2,90.9243
74.0637,2800,65,6.2,93.2375
74.8573,2800,65,6.2,89.0729
78.1354,2800,65,6.2,52.1533
79.4189,2800,65,6.2,50.0689
