Porosity,Displacement,Force,Time,YM,UTS,Fstrain,StrainRate
68.4118,12.57430984,68.4118,150.8859998,1434,45,101,0.004902147
68.5434,17.59092997,68.5434,211.0870049,1434,45,101,0.004902057
69.582,18.19318653,69.582,218.3120028,1434,45,101,0.004902101
69.6431,13.8818587,69.6431,166.5770022,1434,45,101,0.004902117
70.7194,17.83166573,70.7194,213.9740054,1434,45,101,0.004902098
72.4254,20.78362865,72.4254,249.3980013,1434,45,101,0.00490207
72.5757,15.97349843,72.5757,191.676993,1434,45,101,0.004902088
73.1961,15.01013738,73.1961,180.1160037,1434,45,101,0.004902114
73.4546,12.7266602,73.4546,152.7150027,1434,45,101,0.004902119
76.0065,19.23016206,76.0065,230.7570031,1434,45,101,0.004902066
76.8008,7.698425823,76.8008,92.37499927,1434,45,101,0.004902285
78.5772,15.39834057,78.5772,184.7750002,1434,45,101,0.004902096
83.244,11.64620769,83.244,139.7490053,1434,45,101,0.004902153
87.5913,16.73340526,87.5913,200.7939974,1434,45,101,0.004902128
92.587,7.63827156,92.587,91.65199915,1434,45,101,0.004902349
23.1404,4.025923308,23.1404,48.30700174,1378,52,127,0.004902375
28.8891,4.684820152,28.8891,56.21399942,1378,52,127,0.004902296
32.5979,5.98951074,32.5979,71.86700311,1378,52,127,0.004902447
33.3825,7.827548622,33.3825,93.92500177,1378,52,127,0.004902252
34.8898,7.814565008,34.8898,93.77100299,1378,52,127,0.004902158
37.2434,7.065138907,37.2434,84.77500024,1378,52,127,0.004902346
40.5956,8.135169079,40.5956,97.61800256,1378,52,127,0.004902163
52.2356,10.2720124,52.2356,123.2600009,1378,52,127,0.004902126
54.1043,8.900734678,54.1043,106.8000023,1378,52,127,0.004902365
55.6924,14.15344634,55.6924,169.8360049,1378,52,127,0.004902115
60.1287,9.919127715,60.1287,119.0259997,1378,52,127,0.004902106
62.2732,10.29083327,62.2732,123.481001,1378,52,127,0.004902318
65.8821,12.84333629,65.8821,154.1160037,1378,52,127,0.004902089
70.6655,12.17967392,70.6655,146.1510073,1378,52,127,0.004902131
78.3922,7.38395619,78.3922,88.59999774,1378,52,127,0.004902374
82.5622,11.91582934,82.5622,142.9859988,1378,52,127,0.004902096
82.5765,13.52671099,82.5765,162.3160006,1378,52,127,0.004902098
88.5344,4.92561519,88.5344,59.10000101,1378,52,127,0.004902573
27.9213,9.662609056,27.9213,115.9319988,1245,38,141,0.004902777
30.0926,7.524216813,30.0926,90.28700128,1245,38,141,0.004902156
30.9167,7.967272855,30.9167,95.59999719,1245,38,141,0.004902334
31.4352,7.289972888,31.4352,87.47499719,1245,38,141,0.004902223
32.3287,7.510994873,32.3287,90.12599817,1245,38,141,0.004902284
33.7593,9.283934801,33.7593,111.4000013,1245,38,141,0.004902278
35.7731,10.68904189,35.7731,128.2630068,1245,38,141,0.004902171
39.5509,12.16543958,39.5509,145.9819939,1245,38,141,0.004902071
41.2454,8.104734204,41.2454,97.24999707,1245,38,141,0.004902304
50.7546,15.2334825,50.7546,182.7970034,1245,38,141,0.004902089
51.5741,9.924845104,51.5741,119.0940005,1245,38,141,0.004902131
51.7685,8.427780203,51.7685,101.1249987,1245,38,141,0.004902366
59.2963,13.92539617,59.2963,167.1000054,1245,38,141,0.0049021
60.3241,12.09075314,60.3241,145.084006,1245,38,141,0.004902131
60.5417,10.39446526,60.5417,124.7249972,1245,38,141,0.004902298
71.2037,16.52637993,71.2037,198.3120028,1245,38,141,0.004902073
73.9907,12.59616784,73.9907,151.1500002,1245,38,141,0.004902091
81.6667,9.275656275,81.6667,111.3000029,1245,38,141,0.004902308
84.7407,17.03512975,84.7407,204.4169974,1245,38,141,0.00490207
86.7963,13.10336873,86.7963,157.235007,1245,38,141,0.00490213
88.6065,7.269305724,88.6065,87.22499719,1245,38,141,0.004902336
30.4789,4.216153471,30.4789,50.57599979,1494,39,105,0.00490369
35.0296,5.324717693,35.0296,63.88799921,1494,39,105,0.004902622
39.0467,5.611135056,39.0467,67.3270022,1494,39,105,0.004902443
40.0316,6.195107091,40.0316,74.33499835,1494,39,105,0.004902375
42.7219,7.18145686,42.7219,86.16999689,1494,39,105,0.004902387
44.9835,6.755136501,44.9835,81.05399957,1494,39,105,0.004902423
45.6675,8.0565513,45.6675,96.66999744,1494,39,105,0.004902398
46.4928,8.416642517,46.4928,100.9920031,1494,39,105,0.004902335
49.712,6.837863229,49.712,82.05000177,1494,39,105,0.004902221
54.6,10.07130005,54.6,120.8469988,1494,39,105,0.00490231
57.345,6.684261875,57.345,80.20500055,1494,39,105,0.004902336
59.2282,4.462904563,59.2282,53.55000067,1494,39,105,0.004902405
59.6249,8.358930319,59.6249,100.3000018,1494,39,105,0.004902311
60.3544,8.61842743,60.3544,103.4150002,1494,39,105,0.004902251
61.7953,8.13177427,61.7953,97.57500274,1494,39,105,0.004902277
65.2927,9.546469047,65.2927,114.5500018,1494,39,105,0.004902287
68.3614,8.324505843,68.3614,99.88600085,1494,39,105,0.004902357
77.0659,17.07026841,77.0659,204.8370049,1494,39,105,0.00490211
78.7348,14.92246714,78.7348,179.0620028,1494,39,105,0.004902169
85.8024,4.836694419,85.8024,58.03300021,1494,39,105,0.00490258
