Porosity,Young Modulus,Ultimate Strength,Fracture Strain,StrainRate
80.0383,1500,33,51,0.004902146
81.9909,1500,33,51,0.004902365
81.9909,1500,33,51,0.004902105
58.9824,2200,46,48,0.004902606
66.9813,2200,46,48,0.004902453
78.6317,2200,46,48,0.004902242
86.2089,2200,46,48,0.004902378
47.5723,2200,46,48,0.004903051
49.1577,2200,46,48,0.004903032
55.1369,2200,46,48,0.004902747
56.1151,2200,46,48,0.004902696
60.6311,2200,46,48,0.004902542
64.3375,2200,46,48,0.00490266
64.8561,2200,46,48,0.00490287
70.5021,2200,46,48,0.004902736
69.5281,2200,46,48,0.004902805
73.4748,2200,46,48,0.004902313
83.679,2200,46,48,0.004903302
83.173,2200,46,48,0.004903838
48.7013,2800,65,6.2,0.004910146
49.4081,2800,65,6.2,0.004909443
52.6603,2800,65,6.2,0.004909601
55.223,2800,65,6.2,0.004910171
60.396,2800,65,6.2,0.004910166
60.6736,2800,65,6.2,0.004908142
60.8904,2800,65,6.2,0.004908768
61.3197,2800,65,6.2,0.00490861
61.7056,2800,65,6.2,0.004909312
62.6899,2800,65,6.2,0.004908746
67.7155,2800,65,6.2,0.004907183
68.7519,2800,65,6.2,0.004907147
73.4307,2800,65,6.2,0.004907432
74.0637,2800,65,6.2,0.004906273
74.8573,2800,65,6.2,0.004906344
78.1354,2800,65,6.2,0.004904475
79.4189,2800,65,6.2,0.004902728
