Porosity,Young Modulus,Ultimate Strength,Fracture Strain,YStress
60.9894,4100,69,5.3,4.9107
64.0555,4100,69,5.3,3.7187
64.6994,4100,69,5.3,3.9845
68.4861,4100,69,5.3,2.7542
73.1391,4100,69,5.3,1.2606
73.5645,4100,69,5.3,1.4929
78.7233,4100,69,5.3,1.7884
79.2599,4100,69,5.3,1.7123
48.5098,1500,33,51,6.3123
49.1106,1500,33,51,6.3561
49.4066,1500,33,51,6.6162
54.3808,1500,33,51,5.3063
60.7996,1500,33,51,3.7411
61.502,1500,33,51,3.8706
61.8112,1500,33,51,3.9035
63.1674,1500,33,51,2.9528
64.1437,1500,33,51,3.1137
68.6408,1500,33,51,2.0924
69.7541,1500,33,51,2.1231
69.8601,1500,33,51,2.2892
75.8504,1500,33,51,1.6768
76.0845,1500,33,51,1.9283
80.0383,1500,33,51,1.226
81.9909,1500,33,51,0.9181
81.9909,1500,33,51,1.2387
58.9824,2200,46,48,5.3245
66.9813,2200,46,48,2.9068
78.6317,2200,46,48,1.8974
86.2089,2200,46,48,1.2991
47.5723,2200,46,48,8.5302
49.1577,2200,46,48,8.2498
55.1369,2200,46,48,6.8586
56.1151,2200,46,48,6.6218
60.6311,2200,46,48,5.753
64.3375,2200,46,48,4.3315
64.8561,2200,46,48,4.3344
70.5021,2200,46,48,3.5422
69.5281,2200,46,48,3.4581
73.4748,2200,46,48,2.7064
83.679,2200,46,48,0.7473
83.173,2200,46,48,1.2254
48.7013,2800,65,6.2,8.8583
49.4081,2800,65,6.2,7.8377
52.6603,2800,65,6.2,6.4604
55.223,2800,65,6.2,6.5552
60.396,2800,65,6.2,5.7369
60.6736,2800,65,6.2,6.4136
60.8904,2800,65,6.2,5.9452
61.3197,2800,65,6.2,5.4444
61.7056,2800,65,6.2,4.9574
62.6899,2800,65,6.2,5.4816
67.7155,2800,65,6.2,3.897
68.7519,2800,65,6.2,3.6634
73.4307,2800,65,6.2,2.4465
74.0637,2800,65,6.2,2.5255
74.8573,2800,65,6.2,2.6251
78.1354,2800,65,6.2,1.2698
79.4189,2800,65,6.2,0.8915
