"BalabanJ	PEOE_VSA5	SMR_VSA4	SMR_VSA5	SMR_VSA6	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA3	SlogP_VSA4	SlogP_VSA7	SlogP_VSA8	EState_VSA10	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA8	VSA_EState10	VSA_EState2	VSA_EState4	VSA_EState8	VSA_EState9	NHOHCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticHeterocycles	NumSaturatedHeterocycles	fr_Ar_N	fr_allylic_oxid	fr_aniline	fr_bicyclic	fr_ester	fr_ether	fr_ketone	tg"
"3.016084665	0	0	13.27271374	0	0	0	0	0	0	0	6.875840478	11.12690298	0	5.563451492	0	0	0	0	0	-1.163398106	-1.837572555	0	0	0	0	0	0	0	0	0	0	0	0	0	161.5"
"3.640499116	0	0	26.6835911	19.67695573	0	0	0	0	16.03271115	0	6.875840478	0	0	0	0	0	9.473725908	0	0	-1.714020224	-20.72226608	0	0	0	0	0	0	0	0	0	0	0	2	0	0"
"3.796902894	0	0	13.27271374	0	0	0	0	0	0	11.33111287	6.875840478	0	0	11.12690298	0	0	0	0	0	-0.514115646	-1.702738213	0	0	0	0	0	0	0	0	0	0	0	0	0	180"
"3.722974656	0	0	13.27271374	0	0	0	0	11.60093989	0	0	11.89847379	0	0	34.75575964	0	0	0	5.690593348	0	-0.109351852	-1.661399282	0	0	0	0	0	0	0	0	0	0	0	0	0	124"
"3.722974656	0	0	13.27271374	0	0	0	0	15.9299439	0	0	6.875840478	0	0	34.20584584	0	0	15.9299439	2.998180154	0	-0.054907407	-1.633621504	0	0	0	0	0	0	0	0	0	0	0	0	0	132"
"4.059986166	0	0	54.98418727	0	0	65.85622572	0	0	5.922529168	0	6.875840478	0	65.85622572	0	0	0	0	0	0	-4.471354544	-2.504131657	0	0	0	0	0	0	0	0	0	0	0	0	0	42"
"3.919681352	0	5.155712727	20.12460586	0	0	0	0	0	0	0	8.307040135	0	0	5.563451492	0	0	10.36524655	0	0	-1.861484316	-4.790573232	0	1	0	0	0	0	0	0	0	0	0	0	0	134"
"4.18385824	0	0	32.57754879	0	0	0	0	0	5.601050811	0	6.875840478	0	0	0	0	0	5.108808191	0	0	-5.07131224	-9.05386767	0	1	0	0	0	0	0	0	0	0	0	0	0	170"
"4.318588322	0	0	38.95047369	0	0	0	0	0	5.601050811	0	6.875840478	0	0	0	0	0	5.108808191	0	0	-5.603114961	-9.494471647	0	1	0	0	0	0	0	0	0	0	0	0	0	190"
"4.396397334	0	0	45.32339859	0	0	0	0	0	5.601050811	0	6.875840478	0	0	0	0	0	5.108808191	0	0	-6.011380779	-9.807605651	0	1	0	0	0	0	0	0	0	0	0	0	0	135"
"4.439176704	0	0	51.69632349	0	0	0	0	0	5.601050811	0	6.875840478	0	0	0	0	0	5.108808191	0	0	-6.327499449	-10.04942043	0	1	0	0	0	0	0	0	0	0	0	0	0	90"
"4.460984012	0	0	58.06924839	0	0	0	0	0	5.601050811	0	6.875840478	0	0	0	0	0	5.108808191	0	0	-6.577788635	-10.24417955	0	1	0	0	0	0	0	0	0	0	0	0	0	100"
"4.14560006	0	0	25.72565667	20.44851348	0	0	0	0	0	0	6.875840478	0	0	0	0	0	5.108808191	0	-0.822388074	-1.968124633	-13.82135438	0	1	0	0	0	0	0	0	0	0	0	0	0	43"
"3.04676994	0	0	44.84443137	19.49057905	0	0	0	0	0	0	6.875840478	0	0	0	0	0	5.108808191	0	-0.93217974	-2.177236459	-15.09629375	0	1	0	1	0	1	0	0	0	0	0	0	0	54"
"3.003296652	0	0	25.72565667	32.60854954	0	0	0	0	4.736862954	0	6.875840478	0	0	0	0	0	9.845671145	0	-0.83280474	-2.102386927	-22.18164722	0	1	0	1	0	1	0	0	0	0	0	1	0	50"
"3.773579556	0	0	19.83169898	7.037952459	0	0	0	0	11.2958482	0	6.875840478	0	0	5.563451492	0	0	4.736862954	0	0	-1.252024282	-4.97744709	-3.161880984	0	0	0	0	0	0	0	0	0	0	1	0	77"
